Geneid	SRR5364322
ENSMUSG00000104478	0
ENSMUSG00000104385	0
ENSMUSG00000101231	0
ENSMUSG00000101097	0
ENSMUSG00000100764	21
ENSMUSG00000100831	0
ENSMUSG00000100884	0
ENSMUSG00000100635	27
ENSMUSG00000100480	22
ENSMUSG00000089037	0
ENSMUSG00002076531	0
ENSMUSG00000100025	2
ENSMUSG00000100290	0
ENSMUSG00000100758	0
ENSMUSG00000099926	0
ENSMUSG00000118715	0
ENSMUSG00000104158	1
ENSMUSG00000103540	50
ENSMUSG00000102788	5
ENSMUSG00000102160	5
ENSMUSG00000101253	0
ENSMUSG00000101846	0
ENSMUSG00000090243	1
ENSMUSG00000100701	3
ENSMUSG00000100555	4
ENSMUSG00000101395	0
ENSMUSG00000102728	0
ENSMUSG00000088848	0
ENSMUSG00002075225	0
ENSMUSG00000101875	3
ENSMUSG00000099732	0
ENSMUSG00000101220	0
ENSMUSG00000100020	0
ENSMUSG00000088691	0
ENSMUSG00000099884	0
ENSMUSG00000100304	0
ENSMUSG00000101453	0
ENSMUSG00000102105	0
ENSMUSG00000099943	0
ENSMUSG00002075119	0
ENSMUSG00000101687	0
ENSMUSG00000078184	22
ENSMUSG00000104363	4
ENSMUSG00000103277	1
ENSMUSG00000104157	84
ENSMUSG00000102446	0
ENSMUSG00000104248	0
ENSMUSG00000103471	0
ENSMUSG00000087875	0
ENSMUSG00000070695	687
ENSMUSG00002076179	0
ENSMUSG00000102033	0
ENSMUSG00000094429	0
ENSMUSG00000065625	0
ENSMUSG00000103411	1
ENSMUSG00000061024	428
ENSMUSG00000102030	6
ENSMUSG00000081441	4
ENSMUSG00000099827	0
ENSMUSG00000103634	4
ENSMUSG00000104154	606
ENSMUSG00000065573	0
ENSMUSG00002076271	0
ENSMUSG00000103367	0
ENSMUSG00000103584	0
ENSMUSG00002076339	0
ENSMUSG00000102475	1
ENSMUSG00000102211	4
ENSMUSG00000090106	0
ENSMUSG00000103251	0
ENSMUSG00000091844	23
ENSMUSG00000098611	0
ENSMUSG00000100534	3
ENSMUSG00000102904	0
ENSMUSG00002076350	0
ENSMUSG00000104391	63
ENSMUSG00000102133	9
ENSMUSG00000102749	2
ENSMUSG00000103163	3
ENSMUSG00000103646	6
ENSMUSG00000102427	2
ENSMUSG00000103767	0
ENSMUSG00000101104	0
ENSMUSG00000084557	0
ENSMUSG00000100685	0
ENSMUSG00000102090	0
ENSMUSG00000103744	0
ENSMUSG00000089657	0
ENSMUSG00000099141	0
ENSMUSG00000101849	1
ENSMUSG00000101506	0
ENSMUSG00000065215	0
ENSMUSG00000080878	0
ENSMUSG00000104097	77
ENSMUSG00000119789	0
ENSMUSG00000102493	3
ENSMUSG00000089703	0
ENSMUSG00000100966	0
ENSMUSG00000101567	7
ENSMUSG00000104018	58
ENSMUSG00000090486	32
ENSMUSG00000086145	0
ENSMUSG00000080950	4
ENSMUSG00000099868	1
ENSMUSG00000055547	0
ENSMUSG00000100562	0
ENSMUSG00000102319	0
ENSMUSG00000089877	0
ENSMUSG00000101701	0
ENSMUSG00000103071	0
ENSMUSG00000100434	0
ENSMUSG00000100013	0
ENSMUSG00000101251	0
ENSMUSG00000101937	0
ENSMUSG00002075531	0
ENSMUSG00000064954	0
ENSMUSG00000064967	0
ENSMUSG00000102922	0
ENSMUSG00000099377	1
ENSMUSG00000099706	0
ENSMUSG00000101324	2
ENSMUSG00000072978	3
ENSMUSG00000046334	10
ENSMUSG00002075801	0
ENSMUSG00000099562	0
ENSMUSG00000077782	0
ENSMUSG00000096474	17
ENSMUSG00000102235	1
